RUT,NOMBRE,CLASIFICACION
65148498-7,CORPORACION EDUCACIONAL SALVATIERRA,OTRO MUNICIPAL
65148499-5,CORPORACION EDUCACIONAL TRINIDAD PONIENTE,OTRO MUNICIPAL
65148501-0,CORPORACION EDUCACIONAL CEF,OTRO MUNICIPAL
65148514-2,CORPORACION EDUCACIONAL ECOLE NOEL,OTRO MUNICIPAL
65148524-K,CORPORACION EDUCACIONAL LOS ROBLES,OTRO MUNICIPAL
65148547-9,CORPORACION EDUCACIONAL ALIANZA AUSTRAL,OTRO MUNICIPAL
65148601-7,FUNDACION EDUCACIONAL DOCERE,OTRO MUNICIPAL
65148621-1,CORPORACION EDUCACIONAL SALA CUNA Y JARDIN INFANTIL MICKEY MOUSE,OTRO MUNICIPAL
65148627-0,CORPORACION EDUCACIONAL SAN JAVIER,OTRO MUNICIPAL
65148638-6,CORPORACION EDUCACIONAL DALY,OTRO MUNICIPAL
65148689-0,CORPORACIÓN EDUCACIONAL ARTURO PRAT DE YERBAS BUENAS,OTRO MUNICIPAL
65148708-0,CORPORACION EDUCACIONAL ARTE DE APRENDER,OTRO MUNICIPAL
65148751-K,CORPORACION EDUCACIONAL SEMILLAS DE GIRASOL,OTRO MUNICIPAL
65148753-6,CORPORACION EDUCACIONAL EL ARCA DE LOS NIÑOS DE SAN RAMON,OTRO MUNICIPAL
65148764-1,FUNDACION EDUCACIONAL RAHUE,OTRO MUNICIPAL
65148774-9,CORPORACION EDUCACIONAL MONTERREY,OTRO MUNICIPAL
65148779-K,CORPORACION EDUCACIONAL MATICES,OTRO MUNICIPAL
65148782-K,CORPORACIÓN EDUCACIONAL GARRIDO GONZÁLEZ,OTRO MUNICIPAL
65148793-5,CORPORACION EDUCACIONAL LEIVA Y FARIAS,OTRO MUNICIPAL
65148794-3,CORPORACION EDUCACIONAL CENTRO DE ESTUDIOS Y CAPACITACIÓN LABORAL,OTRO MUNICIPAL
65148799-4,CORPORACION EDUCACIONAL MULTISENLUZ,OTRO MUNICIPAL
65148811-7,CORPORACION EDUCACIONAL EL ARCA DE LOS NINOS DE LO ESPEJO,OTRO MUNICIPAL
65148816-8,CORPORACION EDUCACIONAL COLEGIO IBEROAMERICANO,OTRO MUNICIPAL
65148817-6,CORPORACION EDUCACIONAL PLANETA DE NINOS,OTRO MUNICIPAL
65148824-9,FUNDACION EDUCACIONAL PIERRE FAURE,OTRO MUNICIPAL
65148834-6,CORPORACION EDUCACIONAL FRANCISCO FORGIONE,OTRO MUNICIPAL
65148889-3,CORPORACION EDUCACIONAL OMILEN ANTU,OTRO MUNICIPAL
65148907-5,CORPORACION EDUCACIONAL EL DESPERTAR,OTRO MUNICIPAL
65148918-0,CORPORACION EDUCACIONAL COLEGIO ALBERTO HURTADO SEGUNDO CECAHS,OTRO MUNICIPAL
65148921-0,ENTIDAD INDIVIDUAL EDUCACIONAL SOEDINE,OTRO MUNICIPAL
65148983-0,CORPORACION EDUCACIONAL ARELLANO MILLAMAN,OTRO MUNICIPAL
65149002-2,CORPORACION EDUCACIONAL PARVUS,OTRO MUNICIPAL
65149004-9,CORPORACION EDUCACIONAL CUMBRESDE BIO BIO,OTRO MUNICIPAL
65149011-1,CORPORACION EDUCACIONAL CHOIN RAYEN,OTRO MUNICIPAL
65149013-8,CORPORACION EDUCACIONAL LAURITA VICUNA,OTRO MUNICIPAL
65149019-7,CORPORACION EDUCACIONAL DEL PACIFICO,OTRO MUNICIPAL
65149053-7,CORPORACION EDUCACIONAL INNOVACION EDUCATIVA,OTRO MUNICIPAL
65149058-8,CORPORACION EDUCACIONAL SAN AGUSTIN DE ATACAMA,OTRO MUNICIPAL
65149061-8,CORPORACION EDUCACIONAL NIOBE S. NORMALISTA Y LUIS D. FUNDADORES,OTRO MUNICIPAL
65149088-K,CORPORACION EDUCACIONAL PABLO DE TARSO,OTRO MUNICIPAL
65149105-3,CORPORACION EDUCACIONAL PULMAHUE,OTRO MUNICIPAL
65149123-1,CORPORACION EDUCACIONAL COLEGIO BERNARDO O'HIGGINS - COQUIMBO,OTRO MUNICIPAL
65149163-0,CORPORACION EDUCACIONAL SAN IGNACIO DE LOS RIOS,OTRO MUNICIPAL
65149202-5,CORPORACION EDUCACIONAL LOS HALCONES DE PUNTILLA PICHICOLO,OTRO MUNICIPAL
65149221-1,FUNDACION EDUCACIONAL ANGLICANA ARAUCANIA,OTRO MUNICIPAL
65149293-9,CENTRO EDUCACIONAL GASPAR CABRALES,OTRO MUNICIPAL
65149297-1,CORPORACION EDUCACIONAL AMANCAY,OTRO MUNICIPAL
65149299-8,CORPORACION EDUCACIONAL EDUCANDO PARA ALCANZAR SUEÑOS,OTRO MUNICIPAL
65149303-K,FUNDACIÓN EDUCACIONAL LA FRONTERA,OTRO MUNICIPAL
65149335-8,CORPORACION EDUCACIONAL MONTESSORI BIO-BIO,OTRO MUNICIPAL
65149342-0,CORPORACION EDUCACIONAL SANTA VICTORIA DE PEÑALOLEN,OTRO MUNICIPAL
65149350-1,FUND EDUCACIONAL MARIA TERESA CARRASCO GILLET,OTRO MUNICIPAL
65149381-1,CORPORACION EDUCACIONAL COLEGIO PUERTO NATALES,OTRO MUNICIPAL
65149384-6,CORPORACION EDUCACIONAL SAN IGNACIO,OTRO MUNICIPAL
65149392-7,CORPORACION EDUCACIONAL SAN MARTIN DE LA COMPANIA,OTRO MUNICIPAL
65149413-3,CORPORACION EDUCACIONAL MARIA DEOGRACIA,OTRO MUNICIPAL
65149455-9,"SOL NACIENTE, CORPORACION EDUCACIONAL",OTRO MUNICIPAL
65149463-K,CORPORACION EDUCACIONAL LOS BRUJITOS,OTRO MUNICIPAL
65149467-2,FUNDACION EDUCACIONAL QUINTEROS E HIJOS,OTRO MUNICIPAL
65149472-9,CORPORACION EDUCACIONAL KID'S WORLD,OTRO MUNICIPAL
65149476-1,CORPORACION EDUCACIONAL ALBERT EINSTEIN,OTRO MUNICIPAL
65149493-1,FUNDACION EDUCACIONAL DIALECTA ALERCE,OTRO MUNICIPAL
65149502-4,FUNDACION EDUCACIONAL DIALECTA PUERTO MONTT,OTRO MUNICIPAL
65149589-K,CORPORACION EDUCACIONAL CARDENAL ANTONIO SAMORÉ,OTRO MUNICIPAL
65149601-2,CORPORACION EDUCACIONAL FRANCISCO NAPOLITANO,OTRO MUNICIPAL
65149603-9,CORPORACION EDUCACIONAL AUSTRALIAN SOUTHERN COLLEGE,OTRO MUNICIPAL
65149613-6,CORPORACION EDUCACIONAL ANGEL MICAEL,OTRO MUNICIPAL
65149615-2,CORPORACION EDUCACIONAL PROFESOR PEDRO ORTUZAR SERRANO,OTRO MUNICIPAL
65149625-K,CORPORACION EDUCACIONAL ESCUELAS DE CARINO,OTRO MUNICIPAL
65149629-2,CORPORACION EDUCACIONAL NAJU,OTRO MUNICIPAL
65149651-9,CORPORACION EDUCACIONAL ABRACADABRA,OTRO MUNICIPAL
65149658-6,CORPORACION EDUCACIONAL JARDIN DE SUENOS,OTRO MUNICIPAL
65149666-7,CORPORACIÓN EDUCACIONAL LECYA,OTRO MUNICIPAL
65149672-1,CORPORACION EDUCACIONAL COLEGIO EL BELLOTO,OTRO MUNICIPAL
65149762-0,CORPORACION EDUCACIONAL MI PEQUENO MUNDO DE SAN RAMON,OTRO MUNICIPAL
65149779-5,CORPORACION EDUCACIONAL MI POLLITO AMARILLITO,OTRO MUNICIPAL
65149800-7,CORP EDUCACIONAL ALBERT SCHWEITZER,OTRO MUNICIPAL
65149808-2,CORPORACION EDUCACIONAL MAGRACE,OTRO MUNICIPAL
65149815-5,CORPORACION EDUCACIONAL LA GRACIA,OTRO MUNICIPAL
65149817-1,FUNDACION EDUCACIONAL PULMAHUE,OTRO MUNICIPAL
65149836-8,FUNDACION EDUCACIONAL EDUPAC,OTRO MUNICIPAL
65149851-1,"CORPORACION EDUCACIONAL AMANECER SAN ANTONIO,",OTRO MUNICIPAL
65149886-4,CORPORACION EDUCACIONAL MI MUNDO F.N.,OTRO MUNICIPAL
65149888-0,CORPORACION EDUCACIONAL COLEGIO SAINT GEORGE,OTRO MUNICIPAL
65149903-8,FUNDACION EDUCACIONAL MELFORD,OTRO MUNICIPAL
65149948-8,FUNDACION EDUCACIONAL DOR EDUCA DE LA LIGUA,OTRO MUNICIPAL
65149953-4,CORPORACION EDUCACIONAL ARTISTICO NUEVO SOL,OTRO MUNICIPAL
65149956-9,CORPORACION EDUCACIONAL PATRONA DE LOURDES,OTRO MUNICIPAL
65149965-8,CORPORACION EDUCACIONAL ACACIA LA PINTANA,OTRO MUNICIPAL
65149966-6,CORPORACION EDUCACIONAL ACACIA CORDILLERA,OTRO MUNICIPAL
65150009-5,CORPORACION EDUCACIONAL ALBORADA DE PENAFLOR,OTRO MUNICIPAL
65150055-9,CORPORACION EDUCACIONAL ALMA,OTRO MUNICIPAL
65150067-2,FUNDACION EDUCACIONAL CRISTO REDENTOR LOS ALAMOS,OTRO MUNICIPAL
65150077-K,CORPORACION EDUCACIONAL ESCUELA AMARAL DE PENAFLOR,OTRO MUNICIPAL
65150081-8,CORPORACION EDUCACIONAL INSTITUTO NUEVA IMAGEN,OTRO MUNICIPAL
65150123-7,ENTIDAD INDIVIDUAL EDUCACIONAL PARAISO CERRO PLACERES,OTRO MUNICIPAL
65150133-4,CORPORACION EDUCACIONAL COLEGIO INTEGRAL ARTURO PRATT,OTRO MUNICIPAL
65150196-2,CORPORACIÓN EDUCACIONAL ANTUMAPU DE LAFQUENMAPU,OTRO MUNICIPAL
65150207-1,FUNDACION EDUCACIONAL CUMBRES DE PLACILLA,OTRO MUNICIPAL
65150218-7,CORPORACION EDUCACIONAL WE LIWEN,OTRO MUNICIPAL
65150226-8,CORPORACION EDUCACIONAL PUERTO ESPERANZA,OTRO MUNICIPAL
65150244-6,CORPORACION EDUCACIONAL AYEKANTUN,OTRO MUNICIPAL
65150265-9,ENTIDAD INDIVIDUAL EDUCACIONAL CONSTRUYENDO SUENOS,OTRO MUNICIPAL
65150317-5,ENTIDAD INDIVIDUAL EDUCACIONAL ALTAS CUMBRES,OTRO MUNICIPAL
65150328-0,CORPORACION EDUCACIONAL AGUA SOL TALCA,OTRO MUNICIPAL
65150333-7,FUNDACION EDUCACIONAL POMPEYA,OTRO MUNICIPAL
65150334-5,CORPORACION EDUCACIONAL ALEUCAPI,OTRO MUNICIPAL
65150366-3,CORPORACION EDUCACIONAL WENGAMEN DE MELIPILLA,OTRO MUNICIPAL
65150394-9,CORPORACION EDUCACIONAL DEL VALLE,OTRO MUNICIPAL
65150437-6,CORPORACION EDUCACIONAL KAROL CARDENAL DE CRACOVIA,OTRO MUNICIPAL
65150462-7,CORPORACION EDUCACIONAL HABLAPALABRAS TALCA,OTRO MUNICIPAL
65150487-2,CORPORACION EDUCACIONAL EL MIRADOR,OTRO MUNICIPAL
65150489-9,CORPORACION EDUCACIONAL BUENA FE,OTRO MUNICIPAL
65150503-8,ESCUELA ESPECIAL DE LENGUAJE REY LEON CORPORACION EDUCACIONAL O C E,OTRO MUNICIPAL
65150507-0,FUNDACION EDUCACIONAL SANTIAGO EMPRENDEDORES,OTRO MUNICIPAL
65150514-3,FUNDACION EDUCACIONAL TENIENTE DAGOBERTO GODOY,OTRO MUNICIPAL
65150516-K,FUNDACION EDUCACIONAL COLEGIOS SANTIAGO,OTRO MUNICIPAL
65150522-4,CORPORACION EDUCACIONAL MAPUHUE,OTRO MUNICIPAL
65150546-1,CORPORACION EDUCACIONAL ORDENES MANZANO,OTRO MUNICIPAL
65150573-9,CORPORACION EDUCACIONAL PUILE,OTRO MUNICIPAL
65150575-5,CORPORACION EDUCACIONAL CARRUSEL,OTRO MUNICIPAL
65150578-K,FUNDACION EDUCACIONAL TRIGAL,OTRO MUNICIPAL
65150583-6,CORPORACION EDUCACIONAL PATRICIA PERI ROJAS DE TALAGANTE,OTRO MUNICIPAL
65150622-0,CORPORACION EDUCACIONAL TIERRA DE ESPERANZA,OTRO MUNICIPAL
65150671-9,CORPORACION EDUCACIONAL EDUCA SANTA JUANA,OTRO MUNICIPAL
65150679-4,FUNDACION EDUCACION ASIS,OTRO MUNICIPAL
65150688-3,FUNDACION EDUCACIONAL CREATE,OTRO MUNICIPAL
65150713-8,CORPORACION EDUCACIONAL ESCUELAS CANEC,OTRO MUNICIPAL
65150768-5,CORPORACION EDUCACIONAL COMPLEJO ALBERTO WIDMER,OTRO MUNICIPAL
65150807-K,CORPORACION EDUCACIONAL COLEGIO JEAN PIAGET DE PEÑABLANCA,OTRO MUNICIPAL
65150825-8,CORPORACION EDUCACIONAL AYELEN DE LA CALERA,OTRO MUNICIPAL
65150826-6,CORPORACION EDUCACIONAL COLEGIO QUILLOTA TERRANOVA,OTRO MUNICIPAL
65150835-5,FUNDACION EDUCACION SEXUAL AHORA,OTRO MUNICIPAL
65150837-1,CORPORACION EDUCACIONAL OLINDA BAHAMONDE BAHAMONDE,OTRO MUNICIPAL
65150857-6,CORPORACION EDUCACIONAL ESCUELA RAYUN,OTRO MUNICIPAL
65150943-2,CORPORACION EDUCACIONAL ARCOIRIS DE SAN CLEMENTE,OTRO MUNICIPAL
65150948-3,CORPORACION EDUCACIONAL ALTAS CUMBRES DE SAN CLEMENTE,OTRO MUNICIPAL
65150953-K,FUNDACION EDUCACIONAL JERUSALEN,OTRO MUNICIPAL
65150956-4,"COMITE DE DESARROLLO Y SEGURIDAD VECINAL ""VILLA DON MANUEL""",OTRO MUNICIPAL
65151013-9,CORPORACION EDUCACIONAL DE SANTA MARIA DE EL MONTE,OTRO MUNICIPAL
65151044-9,CORPORACION EDUCACIONAL AEK,OTRO MUNICIPAL
65151065-1,CORPORACION EDUCACIONAL ESCUELA ARTURO PRAT,OTRO MUNICIPAL
65151088-0,FUNDACION RUTA SALUDABLE,OTRO MUNICIPAL
65151092-9,CORPORACION EDUCACIONAL DR. ALFONSO BERNALES,OTRO MUNICIPAL
65151096-1,FUNDACION EDUCACIONAL PUERTO NUEVO,OTRO MUNICIPAL
65151098-8,FUNDACION EDUCACIONAL MACAYA,OTRO MUNICIPAL
65151111-9,CORPORACION EDUCACIONAL MAWIDAM PUNOTRO,OTRO MUNICIPAL
65151127-5,CORPORACION EDUCACIONAL DAGOBERTO SCHENCKE,OTRO MUNICIPAL
65151142-9,CORPORACION EDUCACIONAL DE LENGUAJE VER Y HABLAR,OTRO MUNICIPAL
65151155-0,FUNDACION SENDERISMO Y NATURALEZA EDUCACION,OTRO MUNICIPAL
65151169-0,FUNDACION EDUCACIONAL MAUI TE PU AI,OTRO MUNICIPAL
65151173-9,FUNDACION EDUCACIONAL MARA MARAMA,OTRO MUNICIPAL
65151195-K,CORPORACION EDUCACIONAL ALCALA NANCAGUA,OTRO MUNICIPAL
65151206-9,CORPORACION EDUCACIONAL LOS ALERCES DE PUERTO MONTT,OTRO MUNICIPAL
65151217-4,FUNDACION EDUCACIONAL HE HAKA ARA,OTRO MUNICIPAL
65151241-7,CORPORACION EDUCACIONAL EL BOSQUE DE ARAUCO,OTRO MUNICIPAL
65151242-5,CORPORACION EDUCACIONAL ESJELAVI,OTRO MUNICIPAL
65151246-8,CORPORACION EDUCACIONAL ESCUELA ESPECIAL ALCAZAR,OTRO MUNICIPAL
65151258-1,CORPORACION EDUCACIONAL TRAPILHUE,OTRO MUNICIPAL
65151261-1,CORPORACION EDUCACIONAL LAGOS DEL SUR,OTRO MUNICIPAL
65151281-6,CORPORACION EDUCACIONAL EDUCACION Y FUTURO,OTRO MUNICIPAL
65151303-0,EDUCACION INFANTIL ISABEL C ARVAJAL E.I.E,OTRO MUNICIPAL
65151305-7,CORPORACION EDUCACIONAL NUEVA LUMACO,OTRO MUNICIPAL
65151318-9,CORPORACION EDUCACIONAL PALU,OTRO MUNICIPAL
65151334-0,CORPORACION EDUCACIONAL CURIE,OTRO MUNICIPAL
65151345-6,FUNDACION EDUCACIONAL SAN DAMIAN,OTRO MUNICIPAL
65151348-0,CORPORACION EDUCACIONAL MIGUEL DE CERVANTES,OTRO MUNICIPAL
65151349-9,FUNDACION EDUCACIONAL SAN DIEGO,OTRO MUNICIPAL
65151382-0,CORPORACION EDUCACIONAL HUALINTO,OTRO MUNICIPAL
65151406-1,CORPORACION POR LA CIBER EDUCACION,OTRO MUNICIPAL
65151428-2,CORPORACIÓN EDUCACIONAL ALTAMIRANO BERGONZO,OTRO MUNICIPAL
65151438-K,CORPORACION EDUCACIONAL ESTAQUILLA BAJO,OTRO MUNICIPAL
65151469-K,ENTIDAD INDIVIDUAL EDUCACIONAL ESCUELA DE LENGUAJE SAN EXPEDITO DE LAMPA,OTRO MUNICIPAL
65151471-1,CORPORACION EDUCACIONAL JIREH,OTRO MUNICIPAL
65151492-4,CORPORACION EDUCACIONAL EL PRINCIPITO,OTRO MUNICIPAL
65151493-2,ENTIDAD INDIVIDUAL EDUCACIONAL PPB,OTRO MUNICIPAL
65151508-4,CORPORACION EDUCACIONAL ANTUMALEN DE CALERA DE TANGO,OTRO MUNICIPAL
65151551-3,CORPORACION EDUCACIONAL ISLA DE PASCUA,OTRO MUNICIPAL
65151561-0,CORPORACION EDUCACIONAL RICARDO CARTES ROMERO,OTRO MUNICIPAL
65151567-K,CORPORACIÓN EDUCACIONAL SAN NICOLÁS,OTRO MUNICIPAL
65151582-3,CORPORACION EDUCACIONAL RUCALHUE PAINE,OTRO MUNICIPAL
65151594-7,CORPORACION EDUCACIONAL LICEO SAN JOSE UR,OTRO MUNICIPAL
65151618-8,ENTIDAD INDIVIDUAL EDUCACIONAL ALVARO COVARRUBIAS ARLEGUI,OTRO MUNICIPAL
65151648-K,CORPORACION EDUCACIONAL CONSTITUCION,OTRO MUNICIPAL
65151674-9,FUNDACION EDUCACIONAL PRECURSOR FRANCISCO DE MIRANDA,OTRO MUNICIPAL
65151731-1,CORPORACIÓN EDUCACIONAL NUESTRA SEÑORA DEL ROSARIO,OTRO MUNICIPAL
65151772-9,CORPORACIÓN EDUCACIONAL SALAMANCA,OTRO MUNICIPAL
65151779-6,CORPORACION EDUCACIONAL MANUEL RODRIGUEZ,OTRO MUNICIPAL
65151785-0,CORPORACION EDUCACIONAL EDELWEISS,OTRO MUNICIPAL
65151792-3,FUNDACION EDUCACIONAL MARIO PEREZ URRA,OTRO MUNICIPAL
65151832-6,CORPORACION EDUCACIONAL MELI MANKE,OTRO MUNICIPAL
65151891-1,CORPORACION EDUCACIONAL ANATOLIA,OTRO MUNICIPAL
65151892-K,CORPORACION EDUCACIONAL EDUCRATE,OTRO MUNICIPAL
65151894-6,CORPORACION EDUCACIONAL OBISPO CARLOS GONZALEZ CRUCHAGA,OTRO MUNICIPAL
65151898-9,CORPORACION EDUCACIONAL SAN LUCAS DEL PAICO DE EL MONTE,OTRO MUNICIPAL
65151925-K,CORPORACION EDUCACIONAL CREA FUTURO,OTRO MUNICIPAL
65151927-6,ENTIDAD INDIVIDUAL EDUCACIONAL BAMBOO DE VILLA ALEMANA,OTRO MUNICIPAL
65151962-4,CORPORACION EDUCACIONAL OSCAR CASTRO,OTRO MUNICIPAL
65151965-9,CORPORACION EDUCACIONAL NAMASTE,OTRO MUNICIPAL
65151993-4,ENTIDAD INDIVIDUAL EDUCACIONAL EDUCACION ESPECIAL CARLOS MEDINA,OTRO MUNICIPAL
65151998-5,CORPORACION EDUCACIONAL EL PRADO,OTRO MUNICIPAL
65152001-0,CORPORACION EDUCACIONAL PERSPECTIVA,OTRO MUNICIPAL
65152023-1,FUNDACION EDUCACIONAL NAPA O FUNDACION NAPA,OTRO MUNICIPAL
65152031-2,CORPORACIÓN EDUCACIONAL CAJÓN DE QUELÉN,OTRO MUNICIPAL
65152046-0,CORPORACION EDUCACIONAL REDWOOD COLLEGE SAN BERNARDO,OTRO MUNICIPAL
65152065-7,CORPORACION EDUCACIONAL PATITO MARINO,OTRO MUNICIPAL
65152067-3,FUNDACION EDUCACIONAL SANTA BARBARA,OTRO MUNICIPAL
65152068-1,CORPORACION EDUCACIONAL DE DERECHO PRIVADO REMOLINO DE LOS ANDES,OTRO MUNICIPAL
65152077-0,FUNDACION EDUCACIONAL EMANUEL,OTRO MUNICIPAL
65152079-7,FUNDACION EDUCACIONAL SARA DIAZ RODRIGUEZ,OTRO MUNICIPAL
65152096-7,FUNDACION EDUCACIONAL COLEGIO THOMAS ALVA EDISON,OTRO MUNICIPAL
65152115-7,CORPORACION EDUCACIONAL ALBORADA DE SAN PEDRO DE LA PAZ,OTRO MUNICIPAL
65152132-7,CORPORACION EDUCACIONAL RAIGUEN,OTRO MUNICIPAL
65152134-3,CORPORACION EDUCACIONAL ILTA,OTRO MUNICIPAL
65152138-6,CORPORACION EDUCACIONAL CRISMAR,OTRO MUNICIPAL
65152148-3,CORPORACION EDUCACIONAL SYLVIA CORNEJO DE LETELIER,OTRO MUNICIPAL
65152152-1,CORPORRACION EDUCACIONAL AULA PLAY,OTRO MUNICIPAL
65152154-8,FUNDACION EDUCACIONAL ABISAI,OTRO MUNICIPAL
65152155-6,FUNDACION EDUCACIONAL ABIEL,OTRO MUNICIPAL
65152162-9,FUNDACION EDUCACIONAL COLEGIO SAN AGUSTIN,OTRO MUNICIPAL
65152164-5,CORPORACION EDUCACIONAL NEW LITTLE COLLEGE,OTRO MUNICIPAL
65152165-3,FUNDACION EDUCACIONAL NETLAND SCHOOL,OTRO MUNICIPAL
65152187-4,CORPORACION EDUCACIONAL AMERICA LATINA,OTRO MUNICIPAL
65152217-K,ENTIDAD INDIVIDUAL EDUCACIONAL SAN JOSE DE VILLA OLIMPICA,OTRO MUNICIPAL
65152256-0,CORPORACION EDUCACIONAL CUMUY,OTRO MUNICIPAL
65152287-0,CORPORACION EDUCACIONAL FLORIDA HIGH SCHOOL,OTRO MUNICIPAL
65152288-9,FUNDACION EDUCACIONAL DAMIAN TORO,OTRO MUNICIPAL
65152298-6,CORPORACION MUNICIPAL DE CULTURA DE SAN CLEMENTE,CORP
65152302-8,CORPORACION EDUCACIONAL LOS ROBLES,OTRO MUNICIPAL
65152304-4,CORPORACION EDUCACIONAL PULMAHUE DE LOS MUERMOS,OTRO MUNICIPAL
65152311-7,FUNDACION EDUCACIONAL NUEVO HORIZONTE,OTRO MUNICIPAL
65152347-8,CORPORACION EDUCACIONAL EL CARDO,OTRO MUNICIPAL
65152349-4,FUNDACION EDUCACIONAL DELICIA VALDES,OTRO MUNICIPAL
65152356-7,CORPORACION EDUCACIONAL SANDROCK,OTRO MUNICIPAL
65152363-K,FUNDACION EDUCACIONAL VYGOTSKY,OTRO MUNICIPAL
65152369-9,CORPORACION EDUCACIONAL NUESTROS HIJOS,OTRO MUNICIPAL
65152374-5,FUNDACION EDUCACIONAL TIERRAS DE DICIEMBRE,OTRO MUNICIPAL
65152376-1,CORPORACION EDUCACIONAL COLEGIO LOS PENSAMIENTOS,OTRO MUNICIPAL
65152409-1,FUNDACION EDUCACIONAL SANTA CECILIA,OTRO MUNICIPAL
65152436-9,CORPORACION EDUCACIONAL GEORGES POMPIDOU,OTRO MUNICIPAL
65152442-3,CORPORACION EDUCACIONAL LETRITAS,OTRO MUNICIPAL
65152448-2,CORPORACION EDUCACIONAL VERTOR,OTRO MUNICIPAL
65152451-2,FUNDACION EDUCACIONAL AMISADAI,OTRO MUNICIPAL
65152453-9,FUNDACION EDUCACIONA KYRIOS,OTRO MUNICIPAL
65152454-7,ENTIDAD INDIVIDUAL EDUCACIONAL ESCUELA DE LENGUAJE CASABLANCA.,OTRO MUNICIPAL
65152457-1,FUNDACION EDUCACIONAL EDUCARE,OTRO MUNICIPAL
65152484-9,CORPORACION EDUCACIONAL DESPERTAR DE LO ESPEJO,OTRO MUNICIPAL
65152485-7,CORPORACION EDUCACIONAL DIEGO THOMPSON,OTRO MUNICIPAL
65152487-3,CORPORACION EDUCACIONAL ESCUELA PARTICULAR FOLILCO,OTRO MUNICIPAL
65152499-7,CORPORACION EDUCACIONAL JARDIN INFANTIL MI CASITA,OTRO MUNICIPAL
65152507-1,CORPORACION EDUCACIONAL SAN IGNACIO DE COQUIMBO,OTRO MUNICIPAL
65152508-K,CORPORACION EDUCACIONAL LA FAMILIA,OTRO MUNICIPAL
65152518-7,FUNDACION EDUCACIONAL MI HIJO,OTRO MUNICIPAL
65152522-5,FUNDACION EDUCACIONAL MI HIJO II,OTRO MUNICIPAL
65152527-6,CORPORACION EDUCACIONAL ESCUELA ESPECIAL DE LENGUAJE MI CASTILLO,OTRO MUNICIPAL
65152539-K,CORPORACION EDUCACIONAL ANCUD,OTRO MUNICIPAL
65152548-9,CORPORACION EDUCACIONAL NOVUM TEMPUS,OTRO MUNICIPAL
65152549-7,CORPORACION EDUCACIONAL LOS FUNDADORES,OTRO MUNICIPAL
65152553-5,CORPORACION EDUCACIONAL LA ESTANCIA,OTRO MUNICIPAL
65152563-2,"ENTIDAD INDIVIDUAL EDUCACIONAL NUEVA ESPERANZA, SANDRA BENAVIDES",OTRO MUNICIPAL
65152578-0,CORPORACION EDUCACIONAL IQUIQUE YOUNG SCHOOL,OTRO MUNICIPAL
65152581-0,CORPORACION EDUCACIONAL PARAISO,OTRO MUNICIPAL
65152582-9,CORPORACION EDUCACIONAL ALIWE,OTRO MUNICIPAL
65152585-3,CORPORACION EDUCACIONAL COLEGIO SAN BERNARDINO DE SENA,OTRO MUNICIPAL
65152586-1,CORPORACION EDUCACIONAL ANTUEDUCA,OTRO MUNICIPAL
65152592-6,CORPORACION EDUCACIONAL LUZ DE ESPERANZA,OTRO MUNICIPAL
65152601-9,CORPORACION EDUCACIONAL AZAMAT,OTRO MUNICIPAL
65152611-6,CORPORACION EDUCACIONAL SAGRADA FAMILIA,OTRO MUNICIPAL
65152619-1,CORPORACION EDUCACIONAL MI VENTANA,OTRO MUNICIPAL
65152631-0,FUNDACION EDUCACIONAL EDUCADORA GABRIELA MISTRAL,OTRO MUNICIPAL
65152635-3,FUNDACION EDUCACIONAL MINISTRO DIEGO PORTALES,OTRO MUNICIPAL
65152647-7,ENTIDAD INDIVIDUAL EDUCACIONAL COLEGIO JESUS MI REFUGIO,OTRO MUNICIPAL
65152673-6,CORPORACION EDUCACIONAL ESCUELA DE LENGUAJE ANELEY,OTRO MUNICIPAL
65152685-K,CORPORACION LIDERAZGO EDUCACIONAL COLCHAGUA,OTRO MUNICIPAL
65152699-K,CORPORACION EDUCACIONAL LA PRADERA,OTRO MUNICIPAL
65152701-5,CORPORACION EDUCACIONAL MASADI,OTRO MUNICIPAL
65152716-3,FUNDACION EDUCACIONAL ROMERAL,OTRO MUNICIPAL
65152719-8,FUNDACION EDUCACIONAL EL PILAR,OTRO MUNICIPAL
65152725-2,ENTIDAD INDIVIDUAL EDUCACIONAL RAYITO DE SOL,OTRO MUNICIPAL
65152726-0,CORPORACION EDUCACIONAL RELMU DUNGUN,OTRO MUNICIPAL
65152796-1,FUNDACION EDUCACIONAL KRONOS DE ALTO HOSPICIO,OTRO MUNICIPAL
65152799-6,FUNDACION EDUCACIONAL NIRVANA DE ALTO HOSPICIO,OTRO MUNICIPAL
65152802-K,FUNDACION EDUCACIONAL ALTA CUMBRE DE CURICO,OTRO MUNICIPAL
65152805-4,FUNDACION MULTIEDUCACIONAL AGUA VIVA,OTRO MUNICIPAL
65152809-7,ENTIDAD INDIVIDUAL EDUCACIONAL MARIA CRISTINA MORALES RAMOS,OTRO MUNICIPAL
65152819-4,CORPORACION EDUCACIONAL CELESTIN FREINET,OTRO MUNICIPAL
65152825-9,FUNDACION EDUCACIONAL ST DE TALCA,OTRO MUNICIPAL
65152828-3,CORPORACION EDUCACIONAL ESCUELA BASICA Y DE LENGUAJE PADRE PIO,OTRO MUNICIPAL
65152829-1,FUNDACION EDUCACIONAL ST DE PUERTO MONTT,OTRO MUNICIPAL
